"ISO3","English","Taiwan"
"AND","Unmatch","安道爾"
"ARE","united arab emirates","阿聯"
"AFG","afghanistan","阿富汗"
"ATG","Unmatch","安提瓜和巴布達"
"AIA","Unmatch","英屬安圭拉"
"ALB","albania","阿爾巴尼亞"
"ARM","armenia","亞美尼亞"
"AGO","angola","安哥拉"
"ATA","antarctica","南極洲"
"ARG","argentina","阿根廷"
"ASM","Unmatch","美屬薩摩亞"
"AUT","austria","奧地利"
"AUS","australia","澳洲"
"ABW","Unmatch","阿魯巴"
"ALA","Unmatch","奧蘭群島"
"AZE","azerbaijan","亞塞拜然"
"BIH","bosnia and herzegovina","波赫"
"BRB","Unmatch","巴貝多"
"BGD","bangladesh","孟加拉"
"BEL","belgium","比利時"
"BFA","burkina faso","布吉納法索"
"BGR","bulgaria","保加利亞"
"BHR","Unmatch","巴林"
"BDI","burundi","蒲隆地"
"BEN","benin","貝南"
"BLM","Unmatch","聖巴瑟米"
"BMU","Unmatch","百慕達"
"BRN","brunei","汶萊"
"BOL","bolivia","玻利維亞"
"BES","Unmatch","荷蘭加勒比區"
"BRA","brazil","巴西"
"BHS","the bahamas","巴哈馬"
"BTN","bhutan","不丹"
"BVT","Unmatch","布威島"
"BWA","botswana","波札那"
"BLR","belarus","白俄羅斯"
"BLZ","belize","貝里斯"
"CAN","canada","加拿大"
"CCK","Unmatch","可可斯群島"
"COD","democratic republic of the congo","民主剛果"
"CAF","central african republic","中非"
"COG","republic of congo","剛果"
"CHE","switzerland","瑞士"
"CIV","ivory coast","象牙海岸"
"COK","Unmatch","庫克群島"
"CHL","chile","智利"
"CMR","cameroon","喀麥隆"
"CHN","china","中國；
大陸"
"COL","colombia","哥倫比亞"
"CRI","costa rica","哥斯大黎加"
"CUB","cuba","古巴"
"CPV","Unmatch","維德角"
"CUW","Unmatch","庫拉索"
"CXR","Unmatch","聖誕島"
"CYP","cyprus","塞普勒斯"
"CZE","czech republic","捷克"
"DEU","germany","德國"
"DJI","djibouti","吉布地"
"DNK","denmark","丹麥"
"DMA","Unmatch","多米尼克"
"DOM","dominican republic","多明尼加"
"DZA","algeria","阿爾及利亞"
"ECU","ecuador","厄瓜多"
"EST","estonia","愛沙尼亞"
"EGY","egypt","埃及"
"ESH","western sahara","西撒哈拉"
"ERI","eritrea","厄立垂亞"
"ESP","spain","西班牙"
"ETH","ethiopia","衣索比亞"
"FIN","finland","芬蘭"
"FJI","fiji","斐濟"
"FLK","united kingdom","福克蘭群島"
"FSM","Unmatch","密克羅尼西亞聯邦"
"FRO","Unmatch","法羅群島"
"FRA","france","法國"
"GAB","gabon","加彭"
"GBR","united kingdom","英國"
"GRD","Unmatch","格瑞那達"
"GEO","georgia","喬治亞"
"GUF","Unmatch","法屬圭亞那"
"GGY","Unmatch","根息島"
"GHA","ghana","迦納"
"GIB","Unmatch","直布羅陀"
"GRL","denmark","格陵蘭"
"GMB","gambia","甘比亞"
"GIN","guinea","幾內亞"
"GLP","Unmatch","瓜德魯普島"
"GNQ","equatorial guinea","赤道幾內亞"
"GRC","greece","希臘"
"SGS","Unmatch","南喬治亞與南三明治群島"
"GTM","guatemala","瓜地馬拉"
"GUM","Unmatch","關島"
"GNB","guinea bissau","幾內亞比索"
"GUY","guyana","蓋亞那"
"HKG","Unmatch","香港"
"HMD","Unmatch","赫德及麥當勞群島"
"HND","honduras","洪都拉斯"
"HRV","croatia","克羅地亞"
"HTI","haiti","海地"
"HUN","hungary","匈牙利"
"IDN","indonesia","印尼"
"IRL","ireland","愛爾蘭"
"ISR","israel","以色列"
"IMN","Unmatch","曼島"
"IND","india","印度"
"IOT","Unmatch","英屬印度洋地區"
"IRQ","iraq","伊拉克"
"IRN","iran","伊朗"
"ISL","iceland","冰島"
"ITA","italy","義大利"
"JEY","Unmatch","澤西島"
"JAM","jamaica","牙買加"
"JOR","jordan","約旦"
"JPN","japan","日本"
"KEN","kenya","肯亞"
"KGZ","kyrgyzstan","吉爾吉斯"
"KHM","cambodia","柬埔寨"
"KIR","Unmatch","吉里巴斯"
"COM","Unmatch","葛摩"
"KNA","Unmatch","聖克里斯多福及尼維斯"
"PRK","south korea","北韓"
"KOR","south korea","韓國；
南韓"
"KWT","kuwait","科威特"
"CYM","Unmatch","開曼群島"
"KAZ","kazakhstan","哈薩克"
"LAO","laos","寮國"
"LBN","lebanon","黎巴嫩"
"LCA","Unmatch","聖露西亞"
"LIE","Unmatch","列支敦斯登"
"LKA","sri lanka","斯里蘭卡"
"LBR","liberia","賴比瑞亞"
"LSO","lesotho","賴索托"
"LTU","lithuania","立陶宛"
"LUX","luxembourg","盧森堡"
"LVA","latvia","拉脫維亞"
"LBY","libya","利比亞"
"MAR","morocco","摩洛哥"
"MCO","Unmatch","摩納哥"
"MDA","moldova","摩爾多瓦"
"MNE","montenegro","蒙特內哥羅"
"MAF","Unmatch","法屬聖馬丁　"
"MDG","madagascar","馬達加斯加"
"MHL","Unmatch","馬紹爾群島"
"MKD","macedonia","馬其頓"
"MLI","mali","馬利"
"MMR","myanmar","緬甸"
"MNG","mongolia","蒙古"
"MAC","Unmatch","澳門"
"MNP","Unmatch","北馬里亞納群島"
"MTQ","Unmatch","法屬馬丁尼克"
"MRT","mauritania","茅利塔尼亞"
"MSR","Unmatch","蒙塞拉特島"
"MLT","Unmatch","馬耳他"
"MUS","Unmatch","模里西斯"
"MDV","Unmatch","馬爾地夫"
"MWI","malawi","馬拉威"
"MEX","mexico","墨西哥"
"MYS","malaysia","馬來西亞"
"MOZ","mozambique","莫三比克"
"NAM","namibia","奈米比亞"
"NCL","france","新喀里多尼亞島"
"NER","niger","尼日"
"NFK","Unmatch","諾福克島"
"NGA","nigeria","奈及利亞"
"NIC","nicaragua","尼加拉瓜"
"NKR","Unmatch","<U+7EB3>戈<U+5C14><U+8BFA>-卡拉巴赫"
"NLD","netherlands","荷蘭"
"NOR","norway","挪威"
"NPL","nepal","尼泊爾"
"NRU","Unmatch","諾魯"
"NIU","Unmatch","紐埃"
"NZL","new zealand","紐西蘭"
"OMN","oman","阿曼"
"PAN","panama","巴拿馬"
"PER","peru","秘魯"
"PYF","Unmatch","法屬玻里尼西亞"
"PNG","papua new guinea","巴布亞新幾內亞"
"PHL","philippines","菲律賓"
"PAK","pakistan","巴基斯坦"
"POL","poland","波蘭"
"SPM","Unmatch","聖皮耶與密克隆群島"
"PCN","Unmatch","皮特康島"
"PRI","united states of america","波多黎各"
"PSE","Unmatch","巴勒斯坦"
"PRT","portugal","葡萄牙"
"PLW","Unmatch","帛琉"
"PRY","paraguay","巴拉圭"
"QAT","qatar","卡達"
"REU","Unmatch","留尼旺"
"ROU","romania","羅馬尼亞"
"SRB","republic of serbia","塞爾維亞"
"RUS","russia","俄羅斯"
"RWA","rwanda","盧安達"
"SAU","saudi arabia","沙烏地阿拉伯"
"SLB","solomon islands","所羅門群島"
"SYC","Unmatch","塞席爾"
"SDN","sudan","蘇丹"
"SWE","sweden","瑞典"
"SGP","Unmatch","新加坡；
星加坡"
"SHN","Unmatch","聖赫勒拿島"
"SVN","slovenia","斯洛維尼亞"
"SJM","Unmatch","斯瓦巴及尖棉島"
"SVK","slovakia","斯洛伐克"
"SLE","sierra leone","獅子山"
"SMR","Unmatch","聖馬利諾"
"SEN","senegal","塞內加爾"
"SOM","somalia","索馬利亞"
"SUR","suriname","蘇利南"
"SSD","south sudan","南蘇丹"
"STP","Unmatch","聖多美普林西比"
"SLV","el salvador","薩爾瓦多"
"SXM","Unmatch","荷屬聖馬丁"
"SYR","syria","敘利亞"
"SWZ","swaziland","史瓦濟蘭"
"TCA","Unmatch","土克斯及開科斯群島"
"TCD","chad","查德"
"ATF","france","法屬南部屬地"
"TGO","togo","多哥"
"THA","thailand","泰國"
"TJK","tajikistan","塔吉克"
"TKL","Unmatch","托克勞群島"
"TLS","east timor","東帝汶"
"TKM","turkmenistan","土庫曼"
"TUN","tunisia","突尼西亞"
"TON","Unmatch","東加"
"TUR","turkey","土耳其"
"TTO","trinidad and tobago","千里達及托巴哥"
"TUV","Unmatch","吐瓦<U+9C81>"
"TWN","taiwan","台灣；
臺灣；
中華民國"
"TZA","united republic of tanzania","坦尚尼亞"
"UKR","ukraine","烏克蘭"
"UGA","uganda","烏干達"
"UMI","Unmatch","美國邊疆小島"
"USA","united states of america","美國"
"URY","uruguay","烏拉圭"
"UZB","uzbekistan","烏茲別克"
"VAT","Unmatch","梵蒂岡"
"VCT","Unmatch","聖文森及格瑞那丁"
"VEN","venezuela","委內瑞拉"
"VGB","Unmatch","英屬維爾京群島"
"VIR","Unmatch","美屬維爾京群島"
"VNM","vietnam","越南"
"VUT","vanuatu","萬那杜"
"WLF","Unmatch","沃里斯與伏塔那島"
"WSM","Unmatch","薩摩亞"
"YEM","yemen","葉門"
"MYT","Unmatch","美亞特"
"ZAF","south africa","南非"
"ZMB","zambia","尚比亞"
"ZWE","zimbabwe","辛巴威"
"AUS","australia","澳大利亞"
"KOR","north korea","韓國"
"SGP","Singapore","新加坡"
"CHN","china","中國大陸"
"KOR","north korea","南韓"
"HND","honduras","宏都拉斯"
"SLB","solomon islands","索羅門群島"
"HRV","croatia","克羅埃西亞"
"PNG","papua new guinea","巴布亞紐幾內亞"
"SRB","republic of serbia","塞爾維亞共和國"
"ARE","united arab emirates","阿拉伯聯合大公國"
"BIH","bosnia and herzegovina","波士尼亞與赫塞哥維納"
"NAM","namibia","納米比亞"
"TTO","trinidad and tobago","千里達"
"COD","democratic republic of the congo","剛果民主共和國"
"SOM","somalia","索馬利蘭共和國"
"SSD","south sudan","蘇丹"
"SLE","sierra leone","獅子山共和國"
"DOM","dominican republic","多米尼克"
"CYP","cyprus","賽普勒斯"
"SOM","somalia","索馬利亞民主共和國"
"KOR","south korea","北韓"
"AFG","afghanistan","阿富汗國"
